,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ACOT13,18.2096044849239,-0.164941324477099,0.265905553546799,0.510733679685593,0.774632279849239,0.999822123505485
ACOT8,7.91632064136701,-0.229617677609806,0.418143553034564,0.303380926609798,0.859254210290028,0.999822123505485
ACOT9,11.3835825692182,-0.0553768382680934,0.349878763383579,0.0268361172412597,0.986671562234169,0.999822123505485
ACOX1,7.98874423950721,0.31186553013217,0.406074706484953,0.659248593117638,0.719193886298026,0.999822123505485
ACP1,13.999547700954,0.380638557589171,0.320922491115762,1.72411964034243,0.422291341617396,0.999822123505485
ACP2,6.5838945133029,-0.084316739548332,0.477154037621753,0.0358127440077496,0.982252994432678,0.999822123505485
ACP6,10.1749583194996,0.439157225540895,0.359592392396032,1.97076155852191,0.373297056093388,0.999822123505485
ACSF2,11.2512120288114,0.231435238053998,0.35576879352931,0.41806343425457,0.811369500925562,0.999822123505485
ACSL3,20.7469189422837,0.790710983467634,0.274290386463845,8.52584065507693,0.0140811208226585,0.225594377811435
ACSL4,11.5478066127473,0.0612272604149373,0.362694575448077,0.0499419424250291,0.975338224503438,0.999822123505485
ACSL5,14.0930827755855,-0.521733917200774,0.319671390301492,2.71639479234089,0.257123851897931,0.999822123505485
ACTB,397.067450692559,-0.303672441480277,0.099790134265868,9.71861809450898,0.00775584095978781,0.145733209145643
ACTG1,154.884842205442,-0.461606864560867,0.118466731314848,15.6049178265353,0.000408728713870082,0.0135235891850057
ACTL6A,42.7327715716205,0.0453298949517441,0.178199087587736,0.222447460306071,0.894738546542266,0.999822123505485
ACTN1,34.2845035611676,-0.0843196948971967,0.205488365170988,0.376187528861372,0.828537016288779,0.999822123505485
ACTN4,184.404133764876,-0.281927847450795,0.0992344689887857,8.31603033963222,0.0156385670357736,0.240423222509569
ACTR10,11.8916231565456,-0.360596778161138,0.339549156748501,1.33699631206047,0.512477661605758,0.999822123505485
ACTR1A,10.2372917364623,-0.254134849825315,0.359687406412665,0.700763336995081,0.704419183794,0.999822123505485
ACTR1B,7.65194065431087,-0.523995812321584,0.419148760824466,1.58578792864365,0.452533283286952,0.999822123505485
ACTR2,20.7098020893877,0.0378508500178099,0.271885692937116,0.042246147188898,0.979098455987602,0.999822123505485
ACTR3,46.1547829947232,0.109946846124902,0.176442572318882,1.95755480528239,0.375770233820995,0.999822123505485
ACY1,10.3210641766249,-0.371589465550147,0.376072940736559,1.00402948757713,0.605309886019458,0.999822123505485
ADAM10,40.8139994860296,0.262768842848781,0.205402443702019,1.6537229030179,0.437419998048573,0.999822123505485
ADAM15,10.9911213127299,0.290432372070013,0.351073337342196,1.02189283094921,0.599927529351845,0.999822123505485
ADAM17,9.85872878433575,0.155660099295487,0.373403852255512,0.185728767403511,0.911317081365249,0.999822123505485
ADAM28,6.0821775990335,1.13305996002227,0.528506953153412,5.58272113808168,0.0613377029370048,0.589927228247212
ADAM9,71.6475338883084,-0.402232678766371,0.146256118344704,8.60337016708894,0.0135457141098775,0.220233544071425
ADAMTS9,5.99753152322946,0.437998737135222,0.507618156142584,1.83596728234013,0.399323409146698,0.999822123505485
ADAP1,21.3532559005864,-0.207420658876477,0.277321993019464,0.650952133382113,0.722183464299252,0.999822123505485
ADAR,59.8847884061938,0.644713026595021,0.286408949251719,6.59504744154071,0.0369746135990306,0.428599978703781
ADAT1,9.22207501344894,-0.327134556700842,0.390005028322044,0.931161121209456,0.6277705405293,0.999822123505485
ADCY3,6.73728538288222,-0.0704965438183994,0.497920974408337,5.28549449385058,0.0711654915763733,0.64685068603335
ADCY7,5.19579824390693,-0.332695399370378,0.539261921649854,0.483387459993459,0.785296653533306,0.999822123505485
ADD1,8.16197046002852,-0.357275933841109,0.406050907625283,1.24586771219505,0.536368498945325,0.999822123505485
ADD3,10.7778755487387,0.805054977263908,0.360651055880073,5.02755117195099,0.0809619825296412,0.698176281903706
ADGRA3,9.63009686969669,-0.271983982414796,0.372003807765327,0.609359087873138,0.737359627898861,0.999822123505485
ADGRE5,6.33942215190741,-0.207766903333603,0.456405632549967,0.938589920475877,0.625443075108129,0.999822123505485
ADGRF1,19.8354489111639,0.388998933173139,0.253906234089123,4.53121528359802,0.103766962236442,0.797643012746792
ADGRG6,10.6955557051681,0.542834959901341,0.35739881659811,2.30778118716204,0.315407257712588,0.999822123505485
ADGRL2,14.8854135724775,0.049587431973491,0.315266302326898,0.388940030382891,0.823270863505661,0.999822123505485
ADH5,26.6724466685577,-0.351093218326545,0.228315459782604,2.37769378057131,0.304572266895103,0.999822123505485
ADIPOR1,13.8772211530758,0.0284662703831949,0.312561600493388,0.0506384677560519,0.974998609754599,0.999822123505485
ADIPOR2,8.31946676420425,0.180214044051254,0.394386030175241,0.354582783797859,0.837535697844864,0.999822123505485
ADK,15.9027510559348,-0.581352692006801,0.296959068270091,3.91086713011745,0.141503112587111,0.938421513540664
ADNP,8.93960334446721,-0.0105684589550112,0.399472869220253,0.160849253141045,0.922724449869002,0.999822123505485
ADO,5.60721148791646,-0.508756865024666,0.478432033788768,1.4018377640036,0.496129210073644,0.999822123505485
ADORA2B,5.04454206752268,-1.07673966532751,0.539437865539854,5.14978438051335,0.0761620333652812,0.67235112819448
ADPGK,21.0500109070762,-0.158861737751113,0.268401634238112,0.770261306452099,0.680361738941284,0.999822123505485
ADPRS,10.6116734342324,0.0418870154202076,0.406554319159176,1.74926940427128,0.417014326300978,0.999822123505485
ADRB2,5.07733642455147,0.7374509704815,0.593309206232947,2.01474497020112,0.365177228722668,0.999822123505485
ADRM1,62.3222336854694,0.134034193712415,0.171456806080658,1.30807618310168,0.519941958684496,0.999822123505485
ADSL,24.0021868351202,-0.145360129376213,0.244339732917789,0.361749724693752,0.834539784511925,0.999822123505485
ADSS2,5.90837164704045,0.119839547183665,0.475172830395701,0.0669014636013969,0.967102557459217,0.999822123505485
AEBP2,6.21570914297448,-0.0225049618782695,0.484027569634278,0.113400309167282,0.944877344035726,0.999822123505485
AEN,11.0268898845925,-0.114710468305237,0.401780633473177,0.0824702971174389,0.959603454045996,0.999822123505485
AF117829.1,6.35901033723068,1.56650001345128,0.626944010016272,6.61112532762903,0.0366785683260878,0.427710041626454
AFDN,25.9080060350682,0.228303634599616,0.267018719871661,1.76358091360991,0.414040925240335,0.999822123505485
AFF4,14.1664889885983,0.456658013884881,0.355727339362119,1.69622035508913,0.428223434006958,0.999822123505485
AFG3L2,11.5206556026409,-0.336792337619616,0.352953351620113,0.91033886611622,0.63434048059502,0.999822123505485
AFMID,5.10288363813904,-0.011240702536106,0.49678405362219,1.02739347323809,0.598279802909828,0.999822123505485
AFTPH,7.1164437151274,0.375821657931405,0.433786805951722,0.752188934709928,0.686537474599538,0.999822123505485
AGAP1,5.47368804308886,-0.500572745272968,0.49565143033095,1.11189713004599,0.573527974515259,0.999822123505485
AGAP3,5.42883999087633,-0.316675945928705,0.503425473863379,0.945620229525005,0.623248405613841,0.999822123505485
AGFG1,19.4698231430952,0.25542939736795,0.260925060190391,1.19451597114363,0.550318550565,0.999822123505485
AGK,6.56235439698407,-0.168573721144995,0.451598663684413,0.141417016847249,0.931733444998626,0.999822123505485
AGO2,13.1513004018793,0.640724936247966,0.336516309008535,3.66745697762244,0.159816581203023,0.999822123505485
AGPAT1,18.1459495122951,-0.349951824717871,0.278317136336498,1.58652754933277,0.452365962737877,0.999822123505485
AGPAT2,7.57397144458676,-0.475690964650037,0.419198968120459,1.4237520072713,0.49072273576208,0.999822123505485
AGPAT3,7.00916901744166,-0.00948946240762343,0.441622177196143,0.0100394830575965,0.994992836319061,0.999822123505485
AGPAT5,6.00837484111421,0.0218457298766115,0.466961514638462,0.0188598177921691,0.990614413267411,0.999822123505485
AGPS,10.1258122023362,0.189824716171039,0.359313330164616,0.301734427894161,0.859961882022034,0.999822123505485
AGR2,29.4010405430951,-0.139352653592003,0.25184287601979,1.04910882727118,0.591819012105526,0.999822123505485
AGRN,8.77970760227269,0.230755078955328,0.42535070230225,2.91277814788544,0.233076378609293,0.999822123505485
AGTRAP,5.90660425927358,0.149665492031436,0.479920467624507,0.0974465149240089,0.952444675186411,0.999822123505485
